City_Id,State_Id,City_Name
1,1,Jurm
2,2,Abbakhsh
3,3,Baglan
4,4,Berat
5,5,Burrel
6,6,Durres
7,7,Algiers
8,8,Amsthas
9,9,Aboucha
10,10,Canillo
11,11,Ordino
12,12,Hobart
13,13,Melbourne
14,14,Eisenstadt
15,47,Anchorage
16,47,Fairbanks
17,47,College
18,47,Kodiak
19,47,Meadow Lakes
20,48,Houston
21,48,Dallas
22,48,Austin
24,48,Fort Worth
25,49,New York
26,49,Buffalo
27,49,Rochester
28,49,Syracuse
29,49,Albany
30,50,Los Angeles
31,50,San Diego
32,50,San Francisco
33,50,Oakland
34,50,Sacremento
35,56,Newark
