Salary_Id,Emp_Id,Emp_Salary_Change_Year,Emp_Salary
2,1,2000-01-10 00:00:00.000,65000
3,1,2005-02-20 00:00:00.000,88000
4,1,2010-01-03 00:00:00.000,85000
5,2,2005-01-01 00:00:00.000,35000
6,2,2006-01-01 00:00:00.000,40000
7,2,2011-01-01 00:00:00.000,90000
8,3,2005-10-10 00:00:00.000,28000
9,3,2008-09-10 00:00:00.000,56000
10,4,2000-06-09 00:00:00.000,105000
11,4,2002-07-01 00:00:00.000,185000
12,5,2001-01-01 00:00:00.000,78500
13,5,2002-01-01 00:00:00.000,89200
14,5,2003-01-01 00:00:00.000,115500
15,5,2005-01-01 00:00:00.000,156000
16,6,2006-01-01 00:00:00.000,67000
17,6,2009-01-01 00:00:00.000,76000
